X,CH1,
Second,Volt,
-8.0329990e-03,-1.48000e+00,
-8.0319988e-03,-1.48000e+00,
-8.0309995e-03,-1.50000e+00,
-8.0299992e-03,-1.48000e+00,
-8.0289990e-03,-1.48000e+00,
-8.0279987e-03,-1.48000e+00,
-8.0269994e-03,-1.48000e+00,
-8.0259992e-03,-1.48000e+00,
-8.0249989e-03,-1.48000e+00,
-8.0239987e-03,-1.50000e+00,
-8.0229994e-03,-1.48000e+00,
-8.0219992e-03,-1.48000e+00,
-8.0209989e-03,-1.50000e+00,
-8.0199987e-03,-1.48000e+00,
-8.0189994e-03,-1.48000e+00,
-8.0179991e-03,-1.48000e+00,
-8.0169989e-03,-1.48000e+00,
-8.0159986e-03,-1.50000e+00,
-8.0149993e-03,-1.48000e+00,
-8.0139991e-03,-1.50000e+00,
-8.0129988e-03,-1.48000e+00,
-8.0119986e-03,-1.48000e+00,
-8.0109993e-03,-1.48000e+00,
-8.0099991e-03,-1.48000e+00,
-8.0089988e-03,-1.50000e+00,
-8.0079995e-03,-1.48000e+00,
-8.0069993e-03,-1.50000e+00,
-8.0059990e-03,-1.48000e+00,
-8.0049988e-03,-1.50000e+00,
-8.0039995e-03,-1.50000e+00,
-8.0029992e-03,-1.48000e+00,
-8.0019990e-03,-1.48000e+00,
-8.0009988e-03,-1.48000e+00,
-7.9999994e-03,1.54000e+00,
-7.9989992e-03,1.54000e+00,
-7.9979990e-03,1.52000e+00,
-7.9969987e-03,1.52000e+00,
-7.9959994e-03,1.52000e+00,
-7.9949992e-03,1.52000e+00,
-7.9939989e-03,1.52000e+00,
-7.9929987e-03,1.52000e+00,
-7.9919994e-03,1.52000e+00,
-7.9909991e-03,1.52000e+00,
-7.9899989e-03,1.52000e+00,
-7.9889987e-03,1.52000e+00,
-7.9879994e-03,1.52000e+00,
-7.9869991e-03,1.52000e+00,
-7.9859989e-03,1.52000e+00,
-7.9849986e-03,1.52000e+00,
-7.9839993e-03,1.52000e+00,
-7.9829991e-03,1.52000e+00,
-7.9819988e-03,1.52000e+00,
-7.9809986e-03,1.52000e+00,
-7.9799993e-03,1.52000e+00,
-7.9789991e-03,1.52000e+00,
-7.9779988e-03,1.52000e+00,
-7.9769995e-03,1.54000e+00,
-7.9759993e-03,1.52000e+00,
-7.9749990e-03,1.52000e+00,
-7.9739988e-03,1.52000e+00,
-7.9729995e-03,1.52000e+00,
-7.9719992e-03,1.52000e+00,
-7.9709990e-03,1.52000e+00,
-7.9699988e-03,1.54000e+00,
-7.9689994e-03,1.52000e+00,
-7.9679992e-03,1.52000e+00,
-7.9669990e-03,1.52000e+00,
-7.9659987e-03,1.52000e+00,
-7.9649994e-03,1.54000e+00,
-7.9639992e-03,1.52000e+00,
-7.9629989e-03,1.52000e+00,
-7.9619987e-03,1.52000e+00,
-7.9609994e-03,1.52000e+00,
-7.9599991e-03,1.52000e+00,
-7.9589989e-03,1.54000e+00,
